,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-5.78,77,0,11.5,US,1649926096
1,hithadhoo,-0.6,73.0833,83.73,73,100,10.04,MV,1649926096
2,vao,-22.6667,167.4833,77.5,70,57,11.99,NC,1649926096
3,rikitea,-23.1203,-134.9692,78.13,70,4,17.6,PF,1649926096
4,popondetta,-8.7537,148.2534,76.44,90,96,2.77,PG,1649926096
5,srednekolymsk,67.45,153.6833,9.91,95,100,11.23,RU,1649926096
6,mataura,-46.1927,168.8643,56.48,94,46,2.37,NZ,1649926096
7,busselton,-33.65,115.3333,70.83,51,0,8.84,AU,1649926097
8,tasiilaq,65.6145,-37.6368,28.56,90,100,4.54,GL,1649926097
9,zabolotovka,50.2737,39.3147,49.19,89,100,16.58,RU,1649925966
10,saskylakh,71.9167,114.0833,-0.09,93,84,8.66,RU,1649926097
11,bayir,37.2687,28.2167,61.32,30,0,3.38,TR,1649926097
12,samarai,-10.6167,150.6667,84.22,75,100,12.57,PG,1649926097
13,atuona,-9.8,-139.0333,78.82,79,31,16.06,PF,1649926098
14,bluff,-46.6,168.3333,56.8,78,56,22.59,NZ,1649926098
15,khatanga,71.9667,102.5,8.22,89,100,11.32,RU,1649926098
16,sorland,67.667,12.6934,37.94,74,45,6.17,NO,1649926098
17,vientiane,17.9667,102.6,96.75,46,20,2.3,LA,1649925849
18,castro,-24.7911,-50.0119,62.44,96,99,1.3,BR,1649926098
19,denpasar,-8.65,115.2167,87.46,74,40,12.66,ID,1649926098
20,punta arenas,-53.15,-70.9167,51.91,62,20,27.63,CL,1649926099
21,aklavik,68.2191,-135.0107,-18.49,100,21,2.93,CA,1649926099
22,gat,31.61,34.7642,72.39,42,1,10.8,IL,1649925994
23,codrington,-38.2667,141.9667,60.57,65,100,6.71,AU,1649926099
24,qaanaaq,77.484,-69.3632,-7.33,95,100,3.09,GL,1649926099
25,vaini,-21.2,-175.2,78.96,94,20,9.22,TO,1649926099
26,sakakah,29.9697,40.2064,74.77,16,37,15.3,SA,1649925868
27,fairview,40.8126,-73.999,64.31,83,0,5.75,US,1649926100
28,ushuaia,-54.8,-68.3,47.86,53,0,11.5,AR,1649925849
29,yellowknife,62.456,-114.3525,-5.28,84,0,5.75,CA,1649926100
30,shenjiamen,29.9576,122.298,56.91,95,100,23.0,CN,1649926101
31,tiksi,71.6872,128.8694,5.07,97,100,10.16,RU,1649926101
32,butaritari,3.0707,172.7902,81.57,78,41,12.39,KI,1649926101
33,san cristobal,7.7669,-72.225,67.84,63,100,1.23,VE,1649926101
34,kindu,-2.95,25.95,85.1,60,100,2.66,CD,1649926102
35,kodiak,57.79,-152.4072,29.71,74,0,5.75,US,1649926102
36,coquimbo,-29.9533,-71.3436,53.33,100,100,4.61,CL,1649926016
37,esperance,-33.8667,121.9,62.44,75,100,11.32,AU,1649926102
38,tuktoyaktuk,69.4541,-133.0374,-16.37,100,94,5.88,CA,1649926102
39,rosita,13.9268,-84.4032,69.49,99,54,2.08,NI,1649926103
40,cape town,-33.9258,18.4232,66.11,67,20,19.57,ZA,1649925862
41,kapaa,22.0752,-159.319,74.12,82,100,18.41,US,1649926103
42,new norfolk,-42.7826,147.0587,62.65,55,100,0.76,AU,1649926103
43,poum,-20.2333,164.0167,77.7,79,21,9.98,NC,1649926103
44,lasa,46.6166,10.7002,49.08,85,89,1.57,IT,1649926103
45,lithakia,37.7167,20.8333,65.57,72,20,8.05,GR,1649926104
46,matara,5.9485,80.5353,86.63,66,46,8.97,LK,1649926104
47,komsomolskiy,40.4272,71.7189,81.32,19,0,11.5,UZ,1649926104
48,victoria,22.2855,114.1577,88.18,64,1,8.01,HK,1649925962
49,ugoofaaru,5.6667,73.0,83.89,75,97,10.67,MV,1649926104
50,severo-kurilsk,50.6789,156.125,29.48,71,87,25.7,RU,1649926104
51,mapiri,-15.25,-68.1667,66.79,99,68,0.38,BO,1649926104
52,faanui,-16.4833,-151.75,81.73,74,16,17.74,PF,1649926104
53,tavda,58.0425,65.2726,50.56,88,81,9.78,RU,1649926104
54,san patricio,28.017,-97.5169,75.06,65,38,10.18,US,1649926105
55,mar del plata,-38.0023,-57.5575,50.88,83,0,3.44,AR,1649925819
56,andros town,24.7,-77.7667,75.16,79,99,16.44,BS,1649926105
57,port elizabeth,-33.918,25.5701,71.89,72,20,16.11,ZA,1649926105
58,zhigansk,66.7697,123.3711,28.13,97,100,14.29,RU,1649926105
59,garden city,42.3256,-83.331,53.6,89,100,29.93,US,1649926105
60,sitka,57.0531,-135.33,33.69,44,0,5.75,US,1649926105
61,albany,42.6001,-73.9662,60.46,81,100,2.8,US,1649926105
62,sabzevar,36.2126,57.6819,88.88,11,40,11.5,IR,1649925857
63,hilo,19.7297,-155.09,72.25,93,0,0.0,US,1649926106
64,chaiyaphum,15.75,102.0,102.18,22,41,6.6,TH,1649926106
65,nurlat,54.4277,50.8051,55.51,77,67,11.23,RU,1649926106
66,svetlyy,54.675,20.1347,59.05,55,99,11.18,RU,1649926106
67,vangaindrano,-23.35,47.6,81.46,67,17,7.4,MG,1649926106
68,arraial do cabo,-22.9661,-42.0278,77.16,87,95,15.03,BR,1649926107
69,jamestown,42.097,-79.2353,63.99,61,40,8.05,US,1649926107
70,rio grande,-32.035,-52.0986,57.2,76,0,12.44,BR,1649926107
71,ginir,7.1333,40.7,74.59,44,71,11.03,ET,1649926107
72,torbay,47.6666,-52.7314,33.58,85,100,23.02,CA,1649926107
73,gewane,10.1664,40.6453,96.82,23,38,7.99,ET,1649926107
74,ganganagar,29.9167,73.8833,106.57,4,8,12.01,IN,1649926108
75,tautira,-17.7333,-149.15,81.59,74,22,19.53,PF,1649926108
76,portland,45.5234,-122.6762,37.38,92,40,3.44,US,1649926060
77,ternate,0.8,127.4,84.15,70,97,4.32,ID,1649926108
78,oktyabrskiy,54.4815,53.471,63.01,66,56,8.84,RU,1649926108
79,srivardhan,18.0333,73.0167,87.76,58,91,10.13,IN,1649926108
80,nome,64.5011,-165.4064,34.16,86,100,11.5,US,1649926108
81,flinders,-34.5833,150.8552,65.48,81,18,5.28,AU,1649926109
82,beringovskiy,63.05,179.3167,31.14,98,100,14.34,RU,1649926109
83,alofi,-19.0595,-169.9187,75.09,94,23,1.14,NU,1649926109
84,port alfred,-33.5906,26.891,71.19,80,100,5.01,ZA,1649926109
85,cockburn town,21.4612,-71.1419,76.84,80,92,24.32,TC,1649926109
86,jaisinghnagar,23.7,81.3833,106.38,9,49,13.24,IN,1649926109
87,thunder bay,48.4001,-89.3168,33.3,100,100,9.22,CA,1649926109
88,gannan,47.9147,123.5031,52.3,12,4,5.08,CN,1649926110
89,carnarvon,-24.8667,113.6333,82.47,57,0,17.27,AU,1649926110
